#name1	strand1	start1	end1	length1	name2	strand2	start2+	end2+	length2	id%
CM060209.1_1_IGH	+	8839	11179	2341	AP023157.1_1_IGH	+	1214530	1216867	2338	94.9%
CM060209.1_1_IGH	+	8839	11179	2341	AP023157.1_1_IGH	+	1654858	1657243	2386	94.5%
CM060209.1_1_IGH	+	8839	11179	2341	AP023157.1_1_IGH	+	1855430	1857770	2341	94.7%
CM060209.1_1_IGH	+	8843	11179	2337	AP023157.1_1_IGH	+	1315271	1317600	2330	94.7%
CM060209.1_1_IGH	+	9973	11303	1331	AP023157.1_1_IGH	+	1482513	1484060	1548	73.8%
CM060209.1_1_IGH	+	9973	11302	1330	AP023157.1_1_IGH	+	2037844	2039157	1314	73.3%
CM060209.1_1_IGH	+	9973	11309	1337	AP023157.1_1_IGH	+	1833453	1834786	1334	73.0%
CM060209.1_1_IGH	+	9973	11302	1330	AP023157.1_1_IGH	+	1249748	1251075	1328	71.9%
CM060209.1_1_IGH	+	9973	11303	1331	AP023157.1_1_IGH	+	1868910	1870233	1324	72.5%
CM060209.1_1_IGH	+	9973	11309	1337	AP023157.1_1_IGH	+	1939373	1940687	1315	72.8%
CM060209.1_1_IGH	+	9973	11309	1337	AP023157.1_1_IGH	+	1674281	1675610	1330	72.2%
CM060209.1_1_IGH	+	9973	11298	1326	AP023157.1_1_IGH	+	1704019	1705342	1324	73.4%
CM060209.1_1_IGH	+	9973	11302	1330	AP023157.1_1_IGH	+	1590231	1591556	1326	73.1%
CM060209.1_1_IGH	+	9973	11098	1126	AP023157.1_1_IGH	+	1369131	1370248	1118	72.7%
CM060209.1_1_IGH	+	9973	11302	1330	AP023157.1_1_IGH	+	1355986	1357292	1307	73.5%
CM060209.1_1_IGH	+	9973	11309	1337	AP023157.1_1_IGH	+	1453123	1454450	1328	73.5%
CM060209.1_1_IGH	+	9973	11309	1337	AP023157.1_1_IGH	+	1800913	1802249	1337	73.0%
CM060209.1_1_IGH	+	9973	11303	1331	AP023157.1_1_IGH	+	1228066	1229604	1539	72.7%
CM060209.1_1_IGH	+	9973	11303	1331	AP023157.1_1_IGH	+	1561612	1562939	1328	73.1%
CM060209.1_1_IGH	+	9973	11309	1337	AP023157.1_1_IGH	+	1398262	1399580	1319	71.4%
CM060209.1_1_IGH	+	9973	11309	1337	AP023157.1_1_IGH	+	1192387	1193708	1322	74.6%
CM060209.1_1_IGH	+	9973	11309	1337	AP023157.1_1_IGH	+	1601482	1602815	1334	73.1%
CM060209.1_1_IGH	+	9973	11072	1100	AP023157.1_1_IGH	+	2023199	2024284	1086	73.7%
CM060209.1_1_IGH	+	9973	10454	482	AP023157.1_1_IGH	+	1328215	1328697	483	68.9%
CM060209.1_1_IGH	+	9973	11309	1337	AP023157.1_1_IGH	+	1141249	1142582	1334	73.6%
CM060209.1_1_IGH	+	9973	11303	1331	AP023157.1_1_IGH	+	1424073	1425400	1328	72.8%
CM060209.1_1_IGH	+	9973	11309	1337	AP023157.1_1_IGH	+	1950573	1951905	1333	72.9%
CM060209.1_1_IGH	+	9973	11309	1337	AP023157.1_1_IGH	+	1409487	1410821	1335	73.5%
CM060209.1_1_IGH	+	9973	11309	1337	AP023157.1_1_IGH	+	1126510	1127841	1332	73.7%
CM060209.1_1_IGH	+	9973	11309	1337	AP023157.1_1_IGH	+	1972022	1973353	1332	73.0%
CM060209.1_1_IGH	+	9973	11309	1337	AP023157.1_1_IGH	+	1543571	1544903	1333	73.2%
