#name1	strand1	start1	end1	length1	name2	strand2	start2+	end2+	length2	id%
NW_025814831.1_1_IGH	+	1	1223954	1223954	NW_025814831.1_1_IGH	+	1	1223954	1223954	100.0%
NW_025814831.1_1_IGH	+	2639	7012	4374	NW_025814831.1_1_IGH	+	277009	281373	4365	93.4%
NW_025814831.1_1_IGH	+	8839	11179	2341	NW_025814831.1_1_IGH	+	833676	835645	1970	88.9%
NW_025814831.1_1_IGH	+	8839	11179	2341	NW_025814831.1_1_IGH	+	1043176	1045514	2339	95.0%
NW_025814831.1_1_IGH	+	8839	11179	2341	NW_025814831.1_1_IGH	+	935945	938282	2338	95.2%
NW_025814831.1_1_IGH	+	8839	11179	2341	NW_025814831.1_1_IGH	+	180163	182502	2340	94.5%
NW_025814831.1_1_IGH	+	8839	11179	2341	NW_025814831.1_1_IGH	+	728981	731318	2338	95.7%
NW_025814831.1_1_IGH	+	8839	11179	2341	NW_025814831.1_1_IGH	+	639294	641631	2338	95.2%
NW_025814831.1_1_IGH	+	9244	9625	382	NW_025814831.1_1_IGH	+	834081	834463	383	96.1%
NW_025814831.1_1_IGH	+	9973	11303	1331	NW_025814831.1_1_IGH	+	767139	768464	1326	72.6%
NW_025814831.1_1_IGH	+	9973	11304	1332	NW_025814831.1_1_IGH	+	746073	747613	1541	72.7%
NW_025814831.1_1_IGH	+	9973	11310	1338	NW_025814831.1_1_IGH	+	517726	519035	1310	73.0%
NW_025814831.1_1_IGH	+	9973	11310	1338	NW_025814831.1_1_IGH	+	239011	240325	1315	72.3%
NW_025814831.1_1_IGH	+	9973	11299	1327	NW_025814831.1_1_IGH	+	586184	587503	1320	72.6%
NW_025814831.1_1_IGH	+	9973	11303	1331	NW_025814831.1_1_IGH	+	1076426	1077748	1323	73.3%
NW_025814831.1_1_IGH	+	9973	11304	1332	NW_025814831.1_1_IGH	+	652965	654289	1325	72.8%
NW_025814831.1_1_IGH	+	9973	11303	1331	NW_025814831.1_1_IGH	+	973166	974488	1323	73.3%
NW_025814831.1_1_IGH	+	9973	11304	1332	NW_025814831.1_1_IGH	+	846668	848209	1542	73.0%
NW_025814831.1_1_IGH	+	9973	11304	1332	NW_025814831.1_1_IGH	+	399025	400566	1542	72.8%
NW_025814831.1_1_IGH	+	9973	11304	1332	NW_025814831.1_1_IGH	+	298122	299445	1324	73.0%
NW_025814831.1_1_IGH	+	9973	11310	1338	NW_025814831.1_1_IGH	+	133448	134780	1333	73.3%
NW_025814831.1_1_IGH	+	9973	11313	1341	NW_025814831.1_1_IGH	+	83246	84580	1335	73.5%
NW_025814831.1_1_IGH	+	9973	11310	1338	NW_025814831.1_1_IGH	+	119209	120539	1331	73.6%
NW_025814831.1_1_IGH	+	9973	11310	1338	NW_025814831.1_1_IGH	+	250451	251784	1334	73.8%
NW_025814831.1_1_IGH	+	9973	11310	1338	NW_025814831.1_1_IGH	+	715475	716794	1320	73.6%
NW_025814831.1_1_IGH	+	9973	11072	1100	NW_025814831.1_1_IGH	+	571396	572481	1086	73.4%
NW_025814831.1_1_IGH	+	9973	11310	1338	NW_025814831.1_1_IGH	+	47829	49159	1331	72.9%
NW_025814831.1_1_IGH	+	9973	11310	1338	NW_025814831.1_1_IGH	+	529088	530421	1334	73.3%
NW_025814831.1_1_IGH	+	9973	11310	1338	NW_025814831.1_1_IGH	+	1120778	1122111	1334	73.0%
NW_025814831.1_1_IGH	+	9973	11310	1338	NW_025814831.1_1_IGH	+	1019511	1020837	1327	73.5%
NW_025814831.1_1_IGH	+	9973	10803	831	NW_025814831.1_1_IGH	+	879278	880108	831	72.1%
NW_025814831.1_1_IGH	+	9973	11310	1338	NW_025814831.1_1_IGH	+	486196	487530	1335	74.0%
NW_025814831.1_1_IGH	+	9973	11310	1338	NW_025814831.1_1_IGH	+	815301	816632	1332	74.3%
NW_025814831.1_1_IGH	+	9973	11304	1332	NW_025814831.1_1_IGH	+	94903	96222	1320	73.4%
NW_025814831.1_1_IGH	+	9973	11310	1338	NW_025814831.1_1_IGH	+	328892	330221	1330	73.8%
NW_025814831.1_1_IGH	+	9973	11300	1328	NW_025814831.1_1_IGH	+	559705	561032	1328	73.6%
NW_025814831.1_1_IGH	+	9973	11310	1338	NW_025814831.1_1_IGH	+	367041	368366	1326	73.3%
NW_025814831.1_1_IGH	+	9973	11310	1338	NW_025814831.1_1_IGH	+	778381	779715	1335	73.5%
NW_025814831.1_1_IGH	+	9973	11310	1338	NW_025814831.1_1_IGH	+	432298	433629	1332	73.3%
NW_025814831.1_1_IGH	+	9973	11310	1338	NW_025814831.1_1_IGH	+	985175	986509	1335	74.0%
NW_025814831.1_1_IGH	+	9973	11310	1338	NW_025814831.1_1_IGH	+	1088078	1089410	1333	73.8%
NW_025814831.1_1_IGH	+	9973	11310	1338	NW_025814831.1_1_IGH	+	682439	683768	1330	74.0%
NW_025814831.1_1_IGH	+	9973	11310	1338	NW_025814831.1_1_IGH	+	914145	915472	1328	73.6%
NW_025814831.1_1_IGH	+	9973	11310	1338	NW_025814831.1_1_IGH	+	207264	208597	1334	73.2%
NW_025814831.1_1_IGH	+	9974	11310	1337	NW_025814831.1_1_IGH	+	949235	950558	1324	72.4%
NW_025814831.1_1_IGH	+	9974	11304	1331	NW_025814831.1_1_IGH	+	1056476	1057789	1314	72.8%
NW_025814831.1_1_IGH	+	9982	11303	1322	NW_025814831.1_1_IGH	+	670783	672097	1315	73.3%
NW_025814831.1_1_IGH	+	9982	11303	1322	NW_025814831.1_1_IGH	+	867787	869105	1319	73.5%
NW_025814831.1_1_IGH	+	9982	11310	1329	NW_025814831.1_1_IGH	+	597642	598967	1326	73.3%
NW_025814831.1_1_IGH	+	9982	11310	1329	NW_025814831.1_1_IGH	+	626652	627968	1317	73.9%
NW_025814831.1_1_IGH	+	16028	16278	251	NW_025814831.1_1_IGH	+	1077747	1078003	257	80.5%
NW_025814831.1_1_IGH	+	16028	16278	251	NW_025814831.1_1_IGH	+	672096	672350	255	79.7%
NW_025814831.1_1_IGH	+	16244	18345	2102	NW_025814831.1_1_IGH	+	438334	440449	2116	74.4%
NW_025814831.1_1_IGH	+	16284	18180	1897	NW_025814831.1_1_IGH	+	644373	646035	1663	94.4%
NW_025814831.1_1_IGH	+	16284	27723	11440	NW_025814831.1_1_IGH	+	390592	401995	11404	92.1%
NW_025814831.1_1_IGH	+	16284	27594	11311	NW_025814831.1_1_IGH	+	941030	952107	11078	92.5%
NW_025814831.1_1_IGH	+	16284	27723	11440	NW_025814831.1_1_IGH	+	1048265	1059223	10959	92.6%
NW_025814831.1_1_IGH	+	16284	27723	11440	NW_025814831.1_1_IGH	+	737707	749046	11340	92.7%
NW_025814831.1_1_IGH	+	16284	27718	11435	NW_025814831.1_1_IGH	+	838482	849629	11148	92.7%
NW_025814831.1_1_IGH	+	17118	18409	1292	NW_025814831.1_1_IGH	+	100825	102525	1701	75.8%
NW_025814831.1_1_IGH	+	17118	18409	1292	NW_025814831.1_1_IGH	+	784528	786217	1690	76.9%
NW_025814831.1_1_IGH	+	17118	18409	1292	NW_025814831.1_1_IGH	+	335038	336728	1691	77.3%
NW_025814831.1_1_IGH	+	17129	18409	1281	NW_025814831.1_1_IGH	+	535376	537063	1688	74.2%
NW_025814831.1_1_IGH	+	17129	18409	1281	NW_025814831.1_1_IGH	+	256403	258076	1674	75.8%
NW_025814831.1_1_IGH	+	17129	18409	1281	NW_025814831.1_1_IGH	+	125147	127075	1929	76.0%
NW_025814831.1_1_IGH	+	17129	18409	1281	NW_025814831.1_1_IGH	+	539601	541291	1691	75.3%
NW_025814831.1_1_IGH	+	17129	18409	1281	NW_025814831.1_1_IGH	+	139575	141258	1684	69.5%
NW_025814831.1_1_IGH	+	17591	27723	10133	NW_025814831.1_1_IGH	+	290982	300881	9900	92.2%
NW_025814831.1_1_IGH	+	18012	18409	398	NW_025814831.1_1_IGH	+	572667	573042	376	78.5%
NW_025814831.1_1_IGH	+	18012	18409	398	NW_025814831.1_1_IGH	+	602772	603158	387	76.7%
NW_025814831.1_1_IGH	+	18020	18405	386	NW_025814831.1_1_IGH	+	493681	494054	374	76.2%
NW_025814831.1_1_IGH	+	18020	18409	390	NW_025814831.1_1_IGH	+	214794	215172	379	78.6%
NW_025814831.1_1_IGH	+	18023	27723	9701	NW_025814831.1_1_IGH	+	646272	655725	9454	91.9%
NW_025814831.1_1_IGH	+	22321	24979	2659	NW_025814831.1_1_IGH	+	475821	478378	2558	75.8%
NW_025814831.1_1_IGH	+	22321	23274	954	NW_025814831.1_1_IGH	+	196754	197746	993	71.3%
NW_025814831.1_1_IGH	+	22321	25294	2974	NW_025814831.1_1_IGH	+	317470	320781	3312	76.5%
