#name1	strand1	start1	end1	length1	name2	strand2	start2+	end2+	length2	id%
CM060209.1_1_IGH	+	1	7972	7972	CM060229.1_1_IGH	+	201058	209051	7994	93.5%
CM060209.1_1_IGH	+	3205	83384	80180	CM060229.1_1_IGH	+	3198	82743	79546	98.8%
CM060209.1_1_IGH	+	8839	11179	2341	CM060229.1_1_IGH	+	655164	657491	2328	95.1%
CM060209.1_1_IGH	+	8839	11179	2341	CM060229.1_1_IGH	+	869829	872170	2342	94.9%
CM060209.1_1_IGH	+	8839	11179	2341	CM060229.1_1_IGH	+	117209	119549	2341	94.2%
CM060209.1_1_IGH	+	8839	11179	2341	CM060229.1_1_IGH	+	768382	770720	2339	94.7%
CM060209.1_1_IGH	+	8839	11179	2341	CM060229.1_1_IGH	+	950669	953015	2347	94.8%
CM060209.1_1_IGH	+	9973	11298	1326	CM060229.1_1_IGH	+	803284	804606	1323	72.7%
CM060209.1_1_IGH	+	9973	11309	1337	CM060229.1_1_IGH	+	633202	634528	1327	74.2%
CM060209.1_1_IGH	+	9973	11309	1337	CM060229.1_1_IGH	+	512070	513396	1327	73.5%
CM060209.1_1_IGH	+	9973	11057	1085	CM060229.1_1_IGH	+	1050484	1051560	1077	72.1%
CM060209.1_1_IGH	+	9973	11298	1326	CM060229.1_1_IGH	+	904455	905779	1325	73.1%
CM060209.1_1_IGH	+	9973	11298	1326	CM060229.1_1_IGH	+	721702	723026	1325	72.9%
CM060209.1_1_IGH	+	9973	11309	1337	CM060229.1_1_IGH	+	847702	849028	1327	73.2%
CM060209.1_1_IGH	+	9973	11298	1326	CM060229.1_1_IGH	+	588064	589387	1324	72.9%
CM060209.1_1_IGH	+	9973	11303	1331	CM060229.1_1_IGH	+	781650	782973	1324	73.0%
CM060209.1_1_IGH	+	9973	11303	1331	CM060229.1_1_IGH	+	534845	536167	1323	72.7%
CM060209.1_1_IGH	+	9973	11303	1331	CM060229.1_1_IGH	+	668694	670016	1323	72.6%
CM060209.1_1_IGH	+	9973	11298	1326	CM060229.1_1_IGH	+	152850	154168	1319	72.5%
CM060209.1_1_IGH	+	9973	11303	1331	CM060229.1_1_IGH	+	362896	364223	1328	72.8%
CM060209.1_1_IGH	+	9973	11314	1342	CM060229.1_1_IGH	+	391783	393125	1343	73.0%
CM060209.1_1_IGH	+	9973	11302	1330	CM060229.1_1_IGH	+	224158	225483	1326	72.6%
CM060209.1_1_IGH	+	9973	11303	1331	CM060229.1_1_IGH	+	883140	884462	1323	72.8%
CM060209.1_1_IGH	+	9973	11303	1331	CM060229.1_1_IGH	+	454251	455572	1322	72.6%
CM060209.1_1_IGH	+	9973	11303	1331	CM060229.1_1_IGH	+	130655	132199	1545	72.9%
CM060209.1_1_IGH	+	9973	10736	764	CM060229.1_1_IGH	+	964037	964799	763	71.7%
CM060209.1_1_IGH	+	9973	11309	1337	CM060229.1_1_IGH	+	178187	179516	1330	73.1%
CM060209.1_1_IGH	+	9973	11309	1337	CM060229.1_1_IGH	+	266355	267671	1317	72.2%
CM060209.1_1_IGH	+	9973	11309	1337	CM060229.1_1_IGH	+	164444	165772	1329	73.2%
CM060209.1_1_IGH	+	9973	11302	1330	CM060229.1_1_IGH	+	981494	982813	1320	74.5%
CM060209.1_1_IGH	+	9973	11309	1337	CM060229.1_1_IGH	+	62597	63930	1334	73.2%
CM060209.1_1_IGH	+	9973	11309	1337	CM060229.1_1_IGH	+	288345	289678	1334	73.3%
CM060209.1_1_IGH	+	9973	11309	1337	CM060229.1_1_IGH	+	480779	482099	1321	74.1%
CM060209.1_1_IGH	+	9973	11309	1337	CM060229.1_1_IGH	+	1093175	1094507	1333	72.7%
CM060209.1_1_IGH	+	9973	11309	1337	CM060229.1_1_IGH	+	94995	96318	1324	73.5%
