#name1	strand1	start1	end1	length1	name2	strand2	start2+	end2+	length2	id%
SUPER_7_1_IGH	+	1	6015	6015	AP023157.1_1_IGH	+	650	6658	6009	90.7%
SUPER_7_1_IGH	+	2077	5673	3597	AP023157.1_1_IGH	+	3221	6699	3479	82.0%
SUPER_7_1_IGH	+	2098	5498	3401	AP023157.1_1_IGH	+	3277	6697	3421	77.2%
SUPER_7_1_IGH	+	2099	4050	1952	AP023157.1_1_IGH	+	4708	6698	1991	75.5%
SUPER_7_1_IGH	+	2099	5412	3314	AP023157.1_1_IGH	+	3418	6658	3241	74.7%
SUPER_7_1_IGH	+	2099	4987	2889	AP023157.1_1_IGH	+	3779	6658	2880	79.3%
SUPER_7_1_IGH	+	2099	5208	3110	AP023157.1_1_IGH	+	3668	6702	3035	80.8%
SUPER_7_1_IGH	+	2109	4935	2827	AP023157.1_1_IGH	+	3838	6770	2933	79.7%
SUPER_7_1_IGH	+	2110	5058	2949	AP023157.1_1_IGH	+	3699	6697	2999	76.6%
SUPER_7_1_IGH	+	2110	3656	1547	AP023157.1_1_IGH	+	5096	6658	1563	74.6%
SUPER_7_1_IGH	+	2110	4139	2030	AP023157.1_1_IGH	+	4516	6702	2187	76.4%
SUPER_7_1_IGH	+	2110	5392	3283	AP023157.1_1_IGH	+	3448	6658	3211	78.5%
SUPER_7_1_IGH	+	2110	4796	2687	AP023157.1_1_IGH	+	3944	6698	2755	78.4%
SUPER_7_1_IGH	+	2110	5468	3359	AP023157.1_1_IGH	+	3408	6702	3295	78.7%
SUPER_7_1_IGH	+	2110	5670	3561	AP023157.1_1_IGH	+	3113	6658	3546	82.0%
SUPER_7_1_IGH	+	2110	4602	2493	AP023157.1_1_IGH	+	4286	6702	2417	78.2%
SUPER_7_1_IGH	+	2134	5540	3407	AP023157.1_1_IGH	+	3214	6565	3352	76.6%
SUPER_7_1_IGH	+	2134	4566	2433	AP023157.1_1_IGH	+	4152	6658	2507	79.4%
SUPER_7_1_IGH	+	2134	4351	2218	AP023157.1_1_IGH	+	4377	6658	2282	78.4%
SUPER_7_1_IGH	+	2134	5012	2879	AP023157.1_1_IGH	+	3790	6658	2869	79.9%
SUPER_7_1_IGH	+	2135	5283	3149	AP023157.1_1_IGH	+	3545	6697	3153	80.1%
SUPER_7_1_IGH	+	2179	5901	3723	AP023157.1_1_IGH	+	2965	6702	3738	79.8%
SUPER_7_1_IGH	+	2189	5822	3634	AP023157.1_1_IGH	+	2990	6698	3709	79.2%
SUPER_7_1_IGH	+	2191	3712	1522	AP023157.1_1_IGH	+	5105	6702	1598	76.1%
SUPER_7_1_IGH	+	2255	3928	1674	AP023157.1_1_IGH	+	3757	5538	1782	76.9%
SUPER_7_1_IGH	+	2267	4286	2020	AP023157.1_1_IGH	+	4604	6658	2055	79.3%
SUPER_7_1_IGH	+	2272	4560	2289	AP023157.1_1_IGH	+	4357	6657	2301	75.5%
SUPER_7_1_IGH	+	2304	4990	2687	AP023157.1_1_IGH	+	4033	6699	2667	80.8%
SUPER_7_1_IGH	+	2306	4043	1738	AP023157.1_1_IGH	+	4850	6658	1809	78.3%
SUPER_7_1_IGH	+	2307	3641	1335	AP023157.1_1_IGH	+	5366	6658	1293	75.3%
SUPER_7_1_IGH	+	2307	5267	2961	AP023157.1_1_IGH	+	3679	6658	2980	76.8%
SUPER_7_1_IGH	+	2307	5946	3640	AP023157.1_1_IGH	+	3003	6702	3700	77.6%
SUPER_7_1_IGH	+	2307	5695	3389	AP023157.1_1_IGH	+	3133	6658	3526	82.3%
SUPER_7_1_IGH	+	2309	5333	3025	AP023157.1_1_IGH	+	3671	6702	3032	78.9%
SUPER_7_1_IGH	+	2310	4276	1967	AP023157.1_1_IGH	+	4681	6658	1978	78.3%
SUPER_7_1_IGH	+	2312	5088	2777	AP023157.1_1_IGH	+	3433	6179	2747	79.0%
SUPER_7_1_IGH	+	2312	4444	2133	AP023157.1_1_IGH	+	3293	5621	2329	79.7%
SUPER_7_1_IGH	+	2312	4804	2493	AP023157.1_1_IGH	+	4126	6658	2533	78.1%
SUPER_7_1_IGH	+	2312	5885	3574	AP023157.1_1_IGH	+	3013	6658	3646	76.5%
SUPER_7_1_IGH	+	2314	6401	4088	AP023157.1_1_IGH	+	2829	6667	3839	82.4%
SUPER_7_1_IGH	+	2315	5244	2930	AP023157.1_1_IGH	+	3802	6698	2897	80.0%
SUPER_7_1_IGH	+	2320	6239	3920	AP023157.1_1_IGH	+	2961	6702	3742	82.2%
SUPER_7_1_IGH	+	2323	4860	2538	AP023157.1_1_IGH	+	4042	6563	2522	77.7%
SUPER_7_1_IGH	+	2329	6065	3737	AP023157.1_1_IGH	+	2975	6658	3684	79.4%
SUPER_7_1_IGH	+	2332	6325	3994	AP023157.1_1_IGH	+	2963	6698	3736	81.5%
SUPER_7_1_IGH	+	2345	6423	4079	AP023157.1_1_IGH	+	2781	6658	3878	78.2%
SUPER_7_1_IGH	+	2379	6478	4100	AP023157.1_1_IGH	+	2775	6658	3884	79.9%
SUPER_7_1_IGH	+	2525	6467	3943	AP023157.1_1_IGH	+	2781	6592	3812	81.3%
SUPER_7_1_IGH	+	2648	6488	3841	AP023157.1_1_IGH	+	2770	6548	3779	81.1%
SUPER_7_1_IGH	+	2747	46297	43551	AP023157.1_1_IGH	+	2749	45972	43224	95.5%
