#name1	strand1	start1	end1	length1	name2	strand2	start2+	end2+	length2	id%
SUPER_7_1_IGH	+	97539	97835	297	CM060229.1_1_IGH	+	117188	117459	272	71.0%
SUPER_7_1_IGH	+	97563	97835	273	CM060229.1_1_IGH	+	950671	950919	249	71.9%
SUPER_7_1_IGH	+	97580	97841	262	CM060229.1_1_IGH	+	768401	768643	243	73.1%
SUPER_7_1_IGH	+	313301	313590	290	CM060229.1_1_IGH	+	117188	117468	281	70.4%
SUPER_7_1_IGH	+	313311	313590	280	CM060229.1_1_IGH	+	655163	655422	260	70.7%
SUPER_7_1_IGH	+	313311	313590	280	CM060229.1_1_IGH	+	869828	870101	274	70.6%
SUPER_7_1_IGH	+	313311	313590	280	CM060229.1_1_IGH	+	950668	950928	261	70.0%
SUPER_7_1_IGH	+	313343	313590	248	CM060229.1_1_IGH	+	768409	768640	232	71.1%
SUPER_7_1_IGH	+	321533	327589	6057	CM060229.1_1_IGH	+	645572	651830	6259	86.3%
SUPER_7_1_IGH	+	321533	327566	6034	CM060229.1_1_IGH	+	758579	764839	6261	85.9%
SUPER_7_1_IGH	+	432291	438347	6057	CM060229.1_1_IGH	+	645572	651830	6259	86.3%
SUPER_7_1_IGH	+	432291	438324	6034	CM060229.1_1_IGH	+	758579	764839	6261	85.9%
SUPER_7_1_IGH	+	493179	493379	201	CM060229.1_1_IGH	+	869861	870072	212	72.3%
SUPER_7_1_IGH	+	493179	493379	201	CM060229.1_1_IGH	+	950701	950899	199	71.8%
SUPER_7_1_IGH	+	493179	493379	201	CM060229.1_1_IGH	+	117241	117439	199	71.8%
SUPER_7_1_IGH	+	508663	514988	6326	CM060229.1_1_IGH	+	758579	764837	6259	85.9%
SUPER_7_1_IGH	+	611565	611854	290	CM060229.1_1_IGH	+	117188	117468	281	70.8%
SUPER_7_1_IGH	+	611575	611854	280	CM060229.1_1_IGH	+	655163	655422	260	71.1%
SUPER_7_1_IGH	+	611575	611854	280	CM060229.1_1_IGH	+	869828	870101	274	70.9%
