#name1	strand1	start1	end1	length1	name2	strand2	start2+	end2+	length2	id%
CM060209.1_1_IGH	+	1	37211	37211	NW_025814831.1_1_IGH	+	21	37455	37435	98.3%
CM060209.1_1_IGH	+	2645	7016	4372	NW_025814831.1_1_IGH	+	277009	281373	4365	93.4%
CM060209.1_1_IGH	+	8839	11179	2341	NW_025814831.1_1_IGH	+	833676	835645	1970	90.1%
CM060209.1_1_IGH	+	8839	11179	2341	NW_025814831.1_1_IGH	+	1043176	1045514	2339	94.8%
CM060209.1_1_IGH	+	8839	11179	2341	NW_025814831.1_1_IGH	+	935945	938282	2338	95.0%
CM060209.1_1_IGH	+	8839	11179	2341	NW_025814831.1_1_IGH	+	180163	182502	2340	94.3%
CM060209.1_1_IGH	+	8839	11179	2341	NW_025814831.1_1_IGH	+	728981	731318	2338	95.3%
CM060209.1_1_IGH	+	8839	11179	2341	NW_025814831.1_1_IGH	+	639294	641631	2338	95.0%
CM060209.1_1_IGH	+	9297	9625	329	NW_025814831.1_1_IGH	+	834135	834463	329	93.9%
CM060209.1_1_IGH	+	9973	11302	1330	NW_025814831.1_1_IGH	+	767139	768464	1326	72.7%
CM060209.1_1_IGH	+	9973	11303	1331	NW_025814831.1_1_IGH	+	746073	747613	1541	72.5%
CM060209.1_1_IGH	+	9973	11309	1337	NW_025814831.1_1_IGH	+	517726	519035	1310	73.0%
CM060209.1_1_IGH	+	9973	11309	1337	NW_025814831.1_1_IGH	+	239011	240325	1315	72.1%
CM060209.1_1_IGH	+	9973	11298	1326	NW_025814831.1_1_IGH	+	586184	587503	1320	72.9%
CM060209.1_1_IGH	+	9973	11302	1330	NW_025814831.1_1_IGH	+	1076426	1077748	1323	73.4%
CM060209.1_1_IGH	+	9973	11303	1331	NW_025814831.1_1_IGH	+	652965	654289	1325	72.8%
CM060209.1_1_IGH	+	9973	11302	1330	NW_025814831.1_1_IGH	+	973166	974488	1323	73.4%
CM060209.1_1_IGH	+	9973	11303	1331	NW_025814831.1_1_IGH	+	846668	848209	1542	72.7%
CM060209.1_1_IGH	+	9973	11303	1331	NW_025814831.1_1_IGH	+	399025	400566	1542	72.8%
CM060209.1_1_IGH	+	9973	11303	1331	NW_025814831.1_1_IGH	+	298122	299445	1324	72.8%
CM060209.1_1_IGH	+	9973	11312	1340	NW_025814831.1_1_IGH	+	83246	84580	1335	73.3%
