#name1	strand1	start1	end1	length1	name2	strand2	start2+	end2+	length2	id%
SUPER_7_1_IGH	+	97563	97771	209	NW_025814831.1_1_IGH	+	180165	180368	204	73.5%
SUPER_7_1_IGH	+	97563	97835	273	NW_025814831.1_1_IGH	+	833678	833926	249	72.3%
SUPER_7_1_IGH	+	97563	97771	209	NW_025814831.1_1_IGH	+	639296	639499	204	73.0%
SUPER_7_1_IGH	+	97563	97835	273	NW_025814831.1_1_IGH	+	1043178	1043426	249	72.3%
SUPER_7_1_IGH	+	97584	97835	252	NW_025814831.1_1_IGH	+	935964	936195	232	73.2%
SUPER_7_1_IGH	+	97584	97835	252	NW_025814831.1_1_IGH	+	729000	729231	232	72.7%
SUPER_7_1_IGH	+	313311	313590	280	NW_025814831.1_1_IGH	+	180162	180422	261	69.6%
SUPER_7_1_IGH	+	313311	313590	280	NW_025814831.1_1_IGH	+	833675	833935	261	70.4%
SUPER_7_1_IGH	+	313311	313522	212	NW_025814831.1_1_IGH	+	639293	639499	207	71.5%
SUPER_7_1_IGH	+	313311	313590	280	NW_025814831.1_1_IGH	+	1043175	1043435	261	70.4%
SUPER_7_1_IGH	+	313311	313590	280	NW_025814831.1_1_IGH	+	935944	936204	261	70.4%
SUPER_7_1_IGH	+	313311	313590	280	NW_025814831.1_1_IGH	+	728980	729240	261	70.0%
SUPER_7_1_IGH	+	492949	493379	431	NW_025814831.1_1_IGH	+	8622	9069	448	67.2%
SUPER_7_1_IGH	+	493179	493379	201	NW_025814831.1_1_IGH	+	833708	833906	199	72.4%
SUPER_7_1_IGH	+	493179	493379	201	NW_025814831.1_1_IGH	+	639326	639524	199	71.3%
SUPER_7_1_IGH	+	493179	493379	201	NW_025814831.1_1_IGH	+	180195	180393	199	72.4%
SUPER_7_1_IGH	+	577480	577607	128	NW_025814831.1_1_IGH	+	44164	44272	109	76.1%
SUPER_7_1_IGH	+	611575	611854	280	NW_025814831.1_1_IGH	+	180162	180422	261	70.0%
SUPER_7_1_IGH	+	611575	611854	280	NW_025814831.1_1_IGH	+	1043175	1043435	261	70.8%
SUPER_7_1_IGH	+	611575	611854	280	NW_025814831.1_1_IGH	+	935944	936204	261	70.8%
SUPER_7_1_IGH	+	611575	611854	280	NW_025814831.1_1_IGH	+	728980	729240	261	70.4%
SUPER_7_1_IGH	+	686321	687005	685	NW_025814831.1_1_IGH	+	438163	438813	651	73.6%
SUPER_7_1_IGH	+	687962	688419	458	NW_025814831.1_1_IGH	+	8625	9088	464	64.5%
SUPER_7_1_IGH	+	688199	688419	221	NW_025814831.1_1_IGH	+	833708	833925	218	71.5%
SUPER_7_1_IGH	+	688199	688419	221	NW_025814831.1_1_IGH	+	639326	639543	218	70.5%
