#name1	strand1	start1	end1	length1	name2	strand2	start2+	end2+	length2	id%
CM060209.1_1_IGH	+	1	1524091	1524091	CM060209.1_1_IGH	+	1	1524091	1524091	100.0%
CM060209.1_1_IGH	+	8839	11179	2341	CM060209.1_1_IGH	+	1197768	1200109	2342	95.0%
CM060209.1_1_IGH	+	8839	11170	2332	CM060209.1_1_IGH	+	1277607	1280290	2684	94.1%
CM060209.1_1_IGH	+	8839	11179	2341	CM060209.1_1_IGH	+	905466	907812	2347	94.8%
CM060209.1_1_IGH	+	8839	11179	2341	CM060209.1_1_IGH	+	601732	604070	2339	94.9%
CM060209.1_1_IGH	+	8839	11179	2341	CM060209.1_1_IGH	+	401884	404222	2339	94.8%
CM060209.1_1_IGH	+	9973	11298	1326	CM060209.1_1_IGH	+	636632	637954	1323	72.7%
CM060209.1_1_IGH	+	9973	11298	1326	CM060209.1_1_IGH	+	436790	438112	1323	72.7%
CM060209.1_1_IGH	+	9973	11309	1337	CM060209.1_1_IGH	+	1175771	1177097	1327	74.2%
CM060209.1_1_IGH	+	9973	11309	1337	CM060209.1_1_IGH	+	682442	683768	1327	73.6%
CM060209.1_1_IGH	+	9973	11309	1337	CM060209.1_1_IGH	+	481858	483184	1327	73.6%
CM060209.1_1_IGH	+	9973	11309	1337	CM060209.1_1_IGH	+	979968	981294	1327	73.6%
CM060209.1_1_IGH	+	9973	11309	1337	CM060209.1_1_IGH	+	279458	280784	1327	73.6%
CM060209.1_1_IGH	+	9973	11302	1330	CM060209.1_1_IGH	+	1378032	1379353	1322	72.8%
CM060209.1_1_IGH	+	9973	11298	1326	CM060209.1_1_IGH	+	859274	860598	1325	73.2%
CM060209.1_1_IGH	+	9973	11298	1326	CM060209.1_1_IGH	+	555009	556333	1325	72.9%
CM060209.1_1_IGH	+	9973	11298	1326	CM060209.1_1_IGH	+	758428	759751	1324	72.9%
CM060209.1_1_IGH	+	9973	11298	1326	CM060209.1_1_IGH	+	355449	356772	1324	72.8%
CM060209.1_1_IGH	+	9973	11303	1331	CM060209.1_1_IGH	+	615000	616323	1324	73.0%
CM060209.1_1_IGH	+	9973	11303	1331	CM060209.1_1_IGH	+	415152	416475	1324	73.0%
CM060209.1_1_IGH	+	9973	11303	1331	CM060209.1_1_IGH	+	1002738	1004060	1323	72.6%
CM060209.1_1_IGH	+	9973	11303	1331	CM060209.1_1_IGH	+	705202	706524	1323	72.7%
CM060209.1_1_IGH	+	9973	11303	1331	CM060209.1_1_IGH	+	504884	506206	1323	72.7%
CM060209.1_1_IGH	+	9973	11303	1331	CM060209.1_1_IGH	+	302224	303545	1322	72.7%
CM060209.1_1_IGH	+	9973	11303	1331	CM060209.1_1_IGH	+	131271	132598	1328	72.8%
CM060209.1_1_IGH	+	9973	11314	1342	CM060209.1_1_IGH	+	160146	161488	1343	73.0%
CM060209.1_1_IGH	+	9973	11302	1330	CM060209.1_1_IGH	+	1125659	1126977	1319	73.0%
CM060209.1_1_IGH	+	9973	11303	1331	CM060209.1_1_IGH	+	221746	223067	1322	72.6%
CM060209.1_1_IGH	+	9973	11309	1337	CM060209.1_1_IGH	+	1034934	1036265	1332	73.6%
CM060209.1_1_IGH	+	9973	11309	1337	CM060209.1_1_IGH	+	737414	738745	1332	73.5%
CM060209.1_1_IGH	+	9973	11309	1337	CM060209.1_1_IGH	+	334436	335767	1332	73.6%
CM060209.1_1_IGH	+	9973	11309	1337	CM060209.1_1_IGH	+	1102617	1104162	1546	73.0%
CM060209.1_1_IGH	+	9973	10736	764	CM060209.1_1_IGH	+	918835	919597	763	71.7%
CM060209.1_1_IGH	+	9973	10736	764	CM060209.1_1_IGH	+	1291351	1292114	764	72.3%
CM060209.1_1_IGH	+	9973	11309	1337	CM060209.1_1_IGH	+	805099	806644	1546	73.1%
CM060209.1_1_IGH	+	9973	11309	1337	CM060209.1_1_IGH	+	1137122	1138450	1329	72.8%
CM060209.1_1_IGH	+	9973	11302	1330	CM060209.1_1_IGH	+	1308799	1310118	1320	74.5%
CM060209.1_1_IGH	+	9973	11302	1330	CM060209.1_1_IGH	+	936290	937609	1320	74.5%
CM060209.1_1_IGH	+	9973	11309	1337	CM060209.1_1_IGH	+	63055	64388	1334	73.1%
CM060209.1_1_IGH	+	9973	11309	1337	CM060209.1_1_IGH	+	248284	249604	1321	74.0%
CM060209.1_1_IGH	+	9973	11309	1337	CM060209.1_1_IGH	+	1420891	1422224	1334	72.8%
CM060209.1_1_IGH	+	9973	11309	1337	CM060209.1_1_IGH	+	1067621	1068958	1338	72.5%
CM060209.1_1_IGH	+	9973	11309	1337	CM060209.1_1_IGH	+	367128	368465	1338	72.5%
CM060209.1_1_IGH	+	9973	11309	1337	CM060209.1_1_IGH	+	1320515	1321849	1335	73.0%
CM060209.1_1_IGH	+	9973	11309	1337	CM060209.1_1_IGH	+	948001	949335	1335	73.0%
CM060209.1_1_IGH	+	9973	11304	1332	CM060209.1_1_IGH	+	1243044	1244370	1327	72.6%
CM060209.1_1_IGH	+	9973	11304	1332	CM060209.1_1_IGH	+	870940	872266	1327	72.5%
CM060209.1_1_IGH	+	9973	11098	1126	CM060209.1_1_IGH	+	1389256	1390379	1124	72.7%
CM060209.1_1_IGH	+	9973	11309	1337	CM060209.1_1_IGH	+	770103	771440	1338	72.7%
CM060209.1_1_IGH	+	9973	11309	1337	CM060209.1_1_IGH	+	171018	172352	1335	72.5%
CM060209.1_1_IGH	+	9973	11309	1337	CM060209.1_1_IGH	+	566685	568016	1332	72.7%
CM060209.1_1_IGH	+	9973	10975	1003	CM060209.1_1_IGH	+	648094	649093	1000	72.2%
CM060209.1_1_IGH	+	9973	11309	1337	CM060209.1_1_IGH	+	448153	449485	1333	72.4%
CM060209.1_1_IGH	+	9973	11309	1337	CM060209.1_1_IGH	+	838206	839540	1335	73.9%
CM060209.1_1_IGH	+	9973	11309	1337	CM060209.1_1_IGH	+	533718	535052	1335	74.0%
CM060209.1_1_IGH	+	9973	11309	1337	CM060209.1_1_IGH	+	204459	205787	1329	73.6%
CM060209.1_1_IGH	+	9973	11309	1337	CM060209.1_1_IGH	+	1352246	1353573	1328	74.3%
CM060209.1_1_IGH	+	9973	11309	1337	CM060209.1_1_IGH	+	49378	50712	1335	72.8%
CM060209.1_1_IGH	+	9974	11298	1325	CM060209.1_1_IGH	+	1055945	1057267	1323	72.8%
CM060209.1_1_IGH	+	15967	16302	336	CM060209.1_1_IGH	+	50641	50955	315	77.9%
CM060209.1_1_IGH	+	16308	18196	1889	CM060209.1_1_IGH	+	1393250	1395397	2148	75.1%
CM060209.1_1_IGH	+	16308	18196	1889	CM060209.1_1_IGH	+	1073321	1075525	2205	67.5%
CM060209.1_1_IGH	+	16308	18196	1889	CM060209.1_1_IGH	+	876625	878866	2242	67.9%
CM060209.1_1_IGH	+	16308	18196	1889	CM060209.1_1_IGH	+	775803	778005	2203	70.8%
CM060209.1_1_IGH	+	16308	18196	1889	CM060209.1_1_IGH	+	653040	655189	2150	71.8%
CM060209.1_1_IGH	+	16308	18196	1889	CM060209.1_1_IGH	+	372828	375032	2205	67.6%
CM060209.1_1_IGH	+	16308	18196	1889	CM060209.1_1_IGH	+	120368	122528	2161	73.0%
CM060209.1_1_IGH	+	16308	25743	9436	CM060209.1_1_IGH	+	1283141	1292118	8978	93.6%
CM060209.1_1_IGH	+	16308	25743	9436	CM060209.1_1_IGH	+	910655	919601	8947	93.6%
CM060209.1_1_IGH	+	16308	27701	11394	CM060209.1_1_IGH	+	1202627	1213834	11208	92.2%
CM060209.1_1_IGH	+	16308	27701	11394	CM060209.1_1_IGH	+	606782	617753	10972	92.3%
CM060209.1_1_IGH	+	16308	27701	11394	CM060209.1_1_IGH	+	406934	417911	10978	92.3%
CM060209.1_1_IGH	+	16309	18192	1884	CM060209.1_1_IGH	+	253877	256026	2150	74.3%
CM060209.1_1_IGH	+	16309	18196	1888	CM060209.1_1_IGH	+	1147409	1149600	2192	71.4%
CM060209.1_1_IGH	+	16387	18196	1810	CM060209.1_1_IGH	+	572529	574621	2093	68.1%
CM060209.1_1_IGH	+	17423	27701	10279	CM060209.1_1_IGH	+	214639	224499	9861	91.7%
CM060209.1_1_IGH	+	17797	18196	400	CM060209.1_1_IGH	+	1250596	1250982	387	79.5%
CM060209.1_1_IGH	+	17845	22756	4912	CM060209.1_1_IGH	+	109360	113744	4385	93.5%
CM060209.1_1_IGH	+	18366	27680	9315	CM060209.1_1_IGH	+	1096467	1105567	9101	91.7%
CM060209.1_1_IGH	+	18366	27680	9315	CM060209.1_1_IGH	+	798949	808049	9101	91.8%
CM060209.1_1_IGH	+	18366	27701	9336	CM060209.1_1_IGH	+	996341	1005493	9153	91.7%
CM060209.1_1_IGH	+	18366	27701	9336	CM060209.1_1_IGH	+	698806	707958	9153	91.7%
CM060209.1_1_IGH	+	18366	27701	9336	CM060209.1_1_IGH	+	498235	507640	9406	91.0%
CM060209.1_1_IGH	+	18366	27701	9336	CM060209.1_1_IGH	+	295825	304979	9155	91.7%
CM060209.1_1_IGH	+	21539	22261	723	CM060209.1_1_IGH	+	1351893	1352404	512	80.6%
CM060209.1_1_IGH	+	21555	22252	698	CM060209.1_1_IGH	+	62721	63208	488	81.5%
CM060209.1_1_IGH	+	21576	21793	218	CM060209.1_1_IGH	+	247966	248211	246	76.7%
CM060209.1_1_IGH	+	21576	22252	677	CM060209.1_1_IGH	+	49066	49531	466	79.9%
CM060209.1_1_IGH	+	21576	22252	677	CM060209.1_1_IGH	+	1320196	1320668	473	80.0%
CM060209.1_1_IGH	+	21576	22252	677	CM060209.1_1_IGH	+	947682	948154	473	80.0%
CM060209.1_1_IGH	+	21606	21819	214	CM060209.1_1_IGH	+	1136838	1137075	238	75.2%
CM060209.1_1_IGH	+	21606	21819	214	CM060209.1_1_IGH	+	1034651	1034887	237	76.1%
CM060209.1_1_IGH	+	21606	21819	214	CM060209.1_1_IGH	+	837923	838159	237	75.6%
CM060209.1_1_IGH	+	21606	21819	214	CM060209.1_1_IGH	+	737131	737367	237	76.1%
CM060209.1_1_IGH	+	21606	21819	214	CM060209.1_1_IGH	+	533435	533671	237	75.6%
CM060209.1_1_IGH	+	21606	21793	188	CM060209.1_1_IGH	+	334153	334363	211	79.1%
CM060209.1_1_IGH	+	21606	21816	211	CM060209.1_1_IGH	+	1420608	1420841	234	75.2%
CM060209.1_1_IGH	+	21606	21819	214	CM060209.1_1_IGH	+	647811	648047	237	76.1%
CM060209.1_1_IGH	+	21606	21819	214	CM060209.1_1_IGH	+	447870	448106	237	76.1%
CM060209.1_1_IGH	+	21606	22252	647	CM060209.1_1_IGH	+	221462	221899	438	80.3%
CM060209.1_1_IGH	+	21609	21819	211	CM060209.1_1_IGH	+	1388977	1389209	233	77.1%
CM060209.1_1_IGH	+	21613	21793	181	CM060209.1_1_IGH	+	1102339	1102542	204	76.8%
CM060209.1_1_IGH	+	21613	22252	640	CM060209.1_1_IGH	+	614722	615153	432	80.8%
CM060209.1_1_IGH	+	21613	22252	640	CM060209.1_1_IGH	+	414874	415305	432	80.8%
CM060209.1_1_IGH	+	21613	22252	640	CM060209.1_1_IGH	+	1210801	1211231	431	81.5%
CM060209.1_1_IGH	+	21613	22252	640	CM060209.1_1_IGH	+	1002460	1002891	432	81.2%
CM060209.1_1_IGH	+	21613	22252	640	CM060209.1_1_IGH	+	704924	705355	432	81.2%
CM060209.1_1_IGH	+	21613	22252	640	CM060209.1_1_IGH	+	504606	505037	432	81.2%
CM060209.1_1_IGH	+	21613	22252	640	CM060209.1_1_IGH	+	301946	302377	432	81.2%
CM060209.1_1_IGH	+	21613	22252	640	CM060209.1_1_IGH	+	804821	805252	432	81.8%
CM060209.1_1_IGH	+	21618	21819	202	CM060209.1_1_IGH	+	1242773	1242997	225	75.7%
CM060209.1_1_IGH	+	21618	22252	635	CM060209.1_1_IGH	+	1067350	1067780	431	81.5%
CM060209.1_1_IGH	+	21618	21819	202	CM060209.1_1_IGH	+	870669	870893	225	75.7%
CM060209.1_1_IGH	+	21618	22252	635	CM060209.1_1_IGH	+	769832	770262	431	81.5%
CM060209.1_1_IGH	+	21618	22252	635	CM060209.1_1_IGH	+	366857	367287	431	81.5%
CM060209.1_1_IGH	+	21618	22252	635	CM060209.1_1_IGH	+	566414	566838	425	81.7%
CM060209.1_1_IGH	+	21623	22252	630	CM060209.1_1_IGH	+	979716	980121	406	81.3%
CM060209.1_1_IGH	+	21623	22252	630	CM060209.1_1_IGH	+	682190	682595	406	81.6%
CM060209.1_1_IGH	+	21623	22252	630	CM060209.1_1_IGH	+	481606	482011	406	81.6%
CM060209.1_1_IGH	+	21623	22252	630	CM060209.1_1_IGH	+	279206	279611	406	81.3%
CM060209.1_1_IGH	+	21623	22255	633	CM060209.1_1_IGH	+	204206	204615	410	81.1%
CM060209.1_1_IGH	+	21625	22252	628	CM060209.1_1_IGH	+	1175521	1175924	404	81.1%
CM060209.1_1_IGH	+	21763	28222	6460	CM060209.1_1_IGH	+	89319	95957	6639	81.2%
CM060209.1_1_IGH	+	22007	22252	246	CM060209.1_1_IGH	+	1242955	1243197	243	82.9%
CM060209.1_1_IGH	+	22007	22252	246	CM060209.1_1_IGH	+	870851	871093	243	82.9%
CM060209.1_1_IGH	+	22007	22261	255	CM060209.1_1_IGH	+	1308709	1308956	248	83.7%
CM060209.1_1_IGH	+	22007	22261	255	CM060209.1_1_IGH	+	936200	936447	248	83.7%
CM060209.1_1_IGH	+	22007	22261	255	CM060209.1_1_IGH	+	1034845	1035092	248	84.5%
CM060209.1_1_IGH	+	22007	22252	246	CM060209.1_1_IGH	+	1137033	1137275	243	83.8%
CM060209.1_1_IGH	+	22007	22261	255	CM060209.1_1_IGH	+	1125569	1125817	249	82.9%
CM060209.1_1_IGH	+	22007	22252	246	CM060209.1_1_IGH	+	248195	248437	243	84.2%
CM060209.1_1_IGH	+	22007	22252	246	CM060209.1_1_IGH	+	838117	838359	243	85.0%
CM060209.1_1_IGH	+	22007	22252	246	CM060209.1_1_IGH	+	533629	533871	243	85.0%
CM060209.1_1_IGH	+	22007	22261	255	CM060209.1_1_IGH	+	737325	737572	248	84.9%
CM060209.1_1_IGH	+	22007	22261	255	CM060209.1_1_IGH	+	334347	334594	248	84.5%
CM060209.1_1_IGH	+	22007	22261	255	CM060209.1_1_IGH	+	1389167	1389414	248	84.5%
CM060209.1_1_IGH	+	22007	22252	246	CM060209.1_1_IGH	+	1420802	1421044	243	84.6%
CM060209.1_1_IGH	+	22007	22252	246	CM060209.1_1_IGH	+	24886	25130	245	84.3%
CM060209.1_1_IGH	+	22007	22252	246	CM060209.1_1_IGH	+	648005	648247	243	85.5%
CM060209.1_1_IGH	+	22007	22252	246	CM060209.1_1_IGH	+	448064	448306	243	85.5%
