#name1	strand1	start1	end1	length1	name2	strand2	start2+	end2+	length2	id%
AP023157.1_1_IGH	+	1	2323994	2323994	AP023157.1_1_IGH	+	1	2323994	2323994	100.0%
AP023157.1_1_IGH	+	9048	10126	1079	AP023157.1_1_IGH	+	9956	11013	1058	62.6%
AP023157.1_1_IGH	+	9903	10450	548	AP023157.1_1_IGH	+	9589	10103	515	70.6%
AP023157.1_1_IGH	+	29807	30128	322	AP023157.1_1_IGH	+	29939	30293	355	73.0%
AP023157.1_1_IGH	+	29810	29995	186	AP023157.1_1_IGH	+	29854	30036	183	92.3%
AP023157.1_1_IGH	+	29811	30045	235	AP023157.1_1_IGH	+	29899	30162	264	84.9%
AP023157.1_1_IGH	+	29854	30036	183	AP023157.1_1_IGH	+	29810	29995	186	92.3%
AP023157.1_1_IGH	+	29899	30162	264	AP023157.1_1_IGH	+	29811	30045	235	84.9%
AP023157.1_1_IGH	+	29939	30293	355	AP023157.1_1_IGH	+	29807	30128	322	73.0%
AP023157.1_1_IGH	+	39589	40357	769	AP023157.1_1_IGH	+	39845	40628	784	82.7%
AP023157.1_1_IGH	+	39589	40225	637	AP023157.1_1_IGH	+	40002	40629	628	82.1%
AP023157.1_1_IGH	+	39592	40277	686	AP023157.1_1_IGH	+	39886	40615	730	83.1%
AP023157.1_1_IGH	+	39626	40453	828	AP023157.1_1_IGH	+	39826	40629	804	86.5%
AP023157.1_1_IGH	+	39626	40548	923	AP023157.1_1_IGH	+	39722	40629	908	85.9%
AP023157.1_1_IGH	+	39638	40065	428	AP023157.1_1_IGH	+	40098	40508	411	82.0%
AP023157.1_1_IGH	+	39639	40171	533	AP023157.1_1_IGH	+	40142	40628	487	81.6%
AP023157.1_1_IGH	+	39639	40023	385	AP023157.1_1_IGH	+	40222	40629	408	80.8%
AP023157.1_1_IGH	+	39639	40132	494	AP023157.1_1_IGH	+	40169	40629	461	82.0%
AP023157.1_1_IGH	+	39639	40050	412	AP023157.1_1_IGH	+	40195	40629	435	81.8%
AP023157.1_1_IGH	+	39639	40598	960	AP023157.1_1_IGH	+	39706	40639	934	78.2%
AP023157.1_1_IGH	+	39639	40211	573	AP023157.1_1_IGH	+	40071	40629	559	83.9%
AP023157.1_1_IGH	+	39639	40194	556	AP023157.1_1_IGH	+	40116	40624	509	84.0%
AP023157.1_1_IGH	+	39639	40277	639	AP023157.1_1_IGH	+	39967	40629	663	84.1%
AP023157.1_1_IGH	+	39639	40370	732	AP023157.1_1_IGH	+	39863	40629	767	84.8%
AP023157.1_1_IGH	+	39639	40478	840	AP023157.1_1_IGH	+	39810	40628	819	81.8%
AP023157.1_1_IGH	+	39639	40533	895	AP023157.1_1_IGH	+	39759	40629	871	85.1%
AP023157.1_1_IGH	+	39639	40528	890	AP023157.1_1_IGH	+	39785	40638	854	83.2%
AP023157.1_1_IGH	+	39639	40394	756	AP023157.1_1_IGH	+	39653	40408	756	80.4%
AP023157.1_1_IGH	+	39639	40615	977	AP023157.1_1_IGH	+	39665	40629	965	83.5%
AP023157.1_1_IGH	+	39640	40238	599	AP023157.1_1_IGH	+	40021	40629	609	84.3%
AP023157.1_1_IGH	+	39653	40408	756	AP023157.1_1_IGH	+	39639	40394	756	80.4%
AP023157.1_1_IGH	+	39665	40629	965	AP023157.1_1_IGH	+	39639	40615	977	83.5%
AP023157.1_1_IGH	+	39706	40639	934	AP023157.1_1_IGH	+	39639	40598	960	78.2%
